STATE,LAT,LNG
DC,38.54,-77.02
PA,40.16,-76.53
CA,38.35,-121.29
GA,33.45,-84.23
NY,42.39,-73.45
WA,47.02,-122.54
NC,35.46,-78.38
NJ,40.13,-74.44
TX,30.16,-97.44
OH,39.57,-82.59
MI,42.44,-84.33
FL,30.26,-84.17
VA,37.32,-77.26
IL,39.46,-89.39
AK,58.18,-134.25
HI,21.18,-157.51
AL,32.361,-86.279
AZ,33.44,-112.07
AR,34.736,-92.33
CO,39.739,-104.984
CT,41.767,-72.677
DE,39.16,-75.526
ID,43.613,-116.23
IN,39.79,-86.147
IA,41.5909,-93.620
KS,39.04,-95.69
KY,38.197,-84.86
LA,30.45,-91.14
ME,44.32,-69.765
MD,38.97,-76.5
MA,42.34,-71.0275
MN,44.95,-93.094
MS,32.320,-90.207
MO,38.57,-92.189
MT,46.59,-112.027
NE,40.809,-96.675
NV,39.160,-119.753
NH,43.22,-71.549
NM,35.667,-105.964
ND,48.813,-100.779
OK,35.48,-97.53
OR,44.93,-123.029
RI,41.823,-71.422
SC,34.000,-81.035
SD,44.367,-100.336
TN,36.165,-86.784
UT,40.754,-111.892
VT,44.26639,-72.57194
WV,38.349497,-81.633294
WI,43.074722,-89.384444
WY,41.145548,-104.802042